numTreatments,instCode,journals,dois,country,name,type,country_name,region
46,MNRJ,ZooKeys;Zoosystematics and Evolution,10.3897/zookeys.880.35482;10.3897/zookeys.794.26789;10.3897/zookeys.724.20680;10.3897/zookeys.714.11503;10.3897/zookeys.702.13981;10.3897/zookeys.699.12031;10.3897/zookeys.867.34034;10.3897/zookeys.848.32263;10.3897/zookeys.526.6077;10.3897/zookeys.526.6154;10.3897/zookeys.541.6022;10.3897/zookeys.600.8580;10.3897/zookeys.667.11369;10.3897/zookeys.632.9337;10.3897/zookeys.621.9980;10.3897/zse.96.56097;10.3897/zse.94.22685;10.3897/zookeys.771.24921,BR,Museu Nacional/Universidade Federal do Rio de Janeiro,MUSEUM,Brazil,GS
21,DCBU,Journal of Hymenoptera Research;ZooKeys,10.3897/JHR.46.6661;10.3897/JHR.49.7862;10.3897/jhr.68.30131;10.3897/zookeys.976.56751;10.3897/jhr.82.62345,BR,Universidade Federal de Sao Carlos,,Brazil,GS
15,NMKE,Journal of Hymenoptera Research;ZooKeys,10.3897/JHR.49.7714;10.3897/zookeys.693.13012;10.3897/zookeys.565.7185;10.3897/zookeys.585.7503,KE,National Museum of Kenya,,Kenya,GS
5,IITA,Journal of Hymenoptera Research;ZooKeys,10.3897/JHR.49.7714;10.3897/zookeys.565.7185,NG,International Institute of Tropical Agriculture,,Nigeria,GS
81,MZUSP,Journal of Hymenoptera Research;Zoosystematics and Evolution;ZooKeys;Subterranean Biology,10.3897/JHR.49.7862;10.3897/zse.92.10049;10.3897/zookeys.806.27404;10.3897/zookeys.794.26789;10.3897/zookeys.786.27382;10.3897/zookeys.776.26308;10.3897/subtbiol.23.20963;10.3897/zookeys.724.20680;10.3897/zookeys.714.11503;10.3897/zookeys.867.34034;10.3897/zookeys.534.6169;10.3897/zookeys.537.6073;10.3897/zookeys.541.6022;10.3897/zookeys.668.11350;10.3897/zookeys.643.11093;10.3897/zookeys.552.5956;10.3897/zookeys.825.32271;10.3897/zookeys.634.9917;10.3897/zookeys.631.10718;10.3897/zookeys.626.10033;10.3897/zookeys.595.8626;10.3897/zookeys.546.6175;10.3897/zookeys.1016.59617,BR,Museu de Zoologia da Universidade de Sao Paulo,,Brazil,GS
80,ZRC,Zoosystematics and Evolution;ZooKeys,10.3897/zse.95.39214;10.3897/zookeys.811.29187;10.3897/zookeys.747.23468;10.3897/zookeys.738.23708;10.3897/zookeys.716.21349;10.3897/zookeys.858.35198;10.3897/zookeys.694.14871;10.3897/zookeys.662.11908;10.3897/zookeys.647.11455;10.3897/zookeys.672.10212;10.3897/zookeys.976.53859;10.3897/zookeys.994.56810;10.3897/zookeys.1031.63134;10.3897/zookeys.817.29332;10.3897/zookeys.769.26152;10.3897/zookeys.760.24787,,,,,
9,PSUZC,Zoosystematics and Evolution;ZooKeys,10.3897/zse.95.39214;10.3897/zookeys.795.28384;10.3897/zookeys.695.13771;10.3897/zookeys.635.10454,TH,"Princess Maha Chakri Sirindhorn Natural History Museum (PSU Museum, Prince of Songkla University, Thailand)",MUSEUM,Thailand,GS
3,PMBC,Zoosystematics and Evolution,10.3897/zse.95.39214,TH,Phuket Marine Biological Centre,,Thailand,GS
13,MACN,Zoosystematics and Evolution;Journal of Hymenoptera Research;ZooKeys,10.3897/zse.95.34958;10.3897/jhr.61.20742;10.3897/zookeys.532.6078;10.3897/zookeys.628.9805;10.3897/zookeys.589.8291;10.3897/zookeys.546.6175,AR,Museo Argentino de Ciencias Naturales Bernardino Rivadavia,MUSEUM,Argentina,GS
5,MCTP,Zoosystematics and Evolution;ZooKeys,10.3897/zse.95.34958;10.3897/zookeys.915.47563;10.3897/zookeys.771.24921,BR,Museu de Ciencias,,Brazil,GS
18,IRSNB,Zoosystematics and Evolution;ZooKeys,10.3897/zse.95.31488;10.3897/zookeys.664.11881;10.3897/zookeys.656.8914;10.3897/zookeys.615.9179,,,,,
1,MSNS,Zoosystematics and Evolution,10.3897/zse.95.31488,,,,,
23,UFRJ,Zoosystematics and Evolution;ZooKeys,10.3897/zse.94.29872;10.3897/zse.94.28085;10.3897/zse.94.21321;10.3897/zse.93.20906;10.3897/zse.94.22106;10.3897/zookeys.645.10920;10.3897/zookeys.640.9690;10.3897/zse.96.46509;10.3897/zse.96.48952;10.3897/zse.94.22685;10.3897/zookeys.771.24921;10.3897/zse.97.61006,BR,Universidade Federal Rural do Rio de Janeiro,HERBARIUM,Brazil,GS
1,UFRGS,Zoosystematics and Evolution,10.3897/zse.94.29115,BR,Universidade Federale do Rio Grande do Sul,,Brazil,GS
1,ZVC-P,Zoosystematics and Evolution,10.3897/zse.94.29115,,,,,
1,UDCC,Zoosystematics and Evolution,10.3897/zse.94.26859,US,University of Delaware,UNIVERSITY_COLLEGE,United States,GN
15,NKU,Zoosystematics and Evolution;ZooKeys,10.3897/zse.94.25460;10.3897/zookeys.840.30434;10.3897/zookeys.686.13680;10.3897/zookeys.1036.63814;10.3897/zookeys.1040.66527,CN,Nankai University,HERBARIUM,China,GS
5,SDNU,Zoosystematics and Evolution;ZooKeys,10.3897/zse.94.25460;10.3897/zookeys.744.22421;10.3897/zookeys.686.13680,CN,Shandong Normal University,HERBARIUM,China,GS
13,UADBA,Zoosystematics and Evolution,10.3897/zse.94.21037;10.3897/zse.92.9945;10.3897/zse.93.10188,MG,"University dAntananarivo, Department de Biologie Animale",,Madagascar,GN
4,UTA,Zoosystematics and Evolution,10.3897/zse.94.22120,US,University of Texas at Arlington,,United States,GN
39,CAU,Zoosystematics and Evolution;ZooKeys,10.3897/zse.94.21651;10.3897/zookeys.789.26165;10.3897/zookeys.760.22595;10.3897/zookeys.750.23382;10.3897/zookeys.724.21057;10.3897/zookeys.716.13916;10.3897/zookeys.867.36247;10.3897/zookeys.843.31885;10.3897/zookeys.931.49671;10.3897/zookeys.971.35875;10.3897/zookeys.973.46384;10.3897/zookeys.637.10310;10.3897/zookeys.982.49781;10.3897/zookeys.604.8377;10.3897/zookeys.589.7320;10.3897/zookeys.1015.57451;10.3897/zookeys.917.46887,CN,China Agricultural University,,China,GS
56,SAMA,Zoosystematics and Evolution;ZooKeys,10.3897/zse.93.11576;10.3897/zse.92.7629;10.3897/zookeys.846.33200;10.3897/zookeys.700.11784;10.3897/zookeys.598.9229;10.3897/zookeys.653.11177;10.3897/zookeys.562.6052;10.3897/zookeys.1012.57172;10.3897/zookeys.658.11227;10.3897/zookeys.520.6185,US,"DOI/NPS, Salem Maritime National Historic Site",,United States,GN
16,PNGNM,Zoosystematics and Evolution,10.3897/zse.93.11576;10.3897/zse.92.7629,,,,,
23,SMNH,Zoosystematics and Evolution;ZooKeys,10.3897/zse.93.11314;10.3897/zookeys.724.21415;10.3897/zookeys.840.33878;10.3897/zookeys.915.47563;10.3897/zookeys.876.36743;10.3897/zookeys.1010.58759,JP,Saitama Museum of Natural History,,Japan,GN
37,MRAC,Zoosystematics and Evolution;ZooKeys;Deutsche Entomologische Zeitschrift,10.3897/zse.93.11041;10.3897/zookeys.944.49921;10.3897/zookeys.963.54714;10.3897/dez.68.60193;10.3897/zookeys.785.27422;10.3897/zookeys.708.14072;10.3897/zookeys.657.11076,,,,,
114,INPA,Zoosystematics and Evolution;ZooKeys;Journal of Hymenoptera Research;PhytoKeys,10.3897/zse.92.10049;10.3897/zookeys.896.36493;10.3897/jhr.51.9634;10.3897/jhr.71.35754;10.3897/zookeys.768.24423;10.3897/zookeys.714.11503;10.3897/zookeys.699.12031;10.3897/phytokeys.63.7368;10.3897/phytokeys.134.37979;10.3897/zookeys.526.6128;10.3897/zookeys.678.5978;10.3897/zookeys.553.5988;10.3897/zookeys.558.6671;10.3897/zookeys.631.10718;10.3897/zookeys.612.7851;10.3897/zookeys.603.7335;10.3897/zookeys.571.5983;10.3897/zookeys.1019.59881;10.3897/jhr.81.60048;10.3897/zookeys.1025.60442;10.3897/zookeys.1033.60686;10.3897/phytokeys.169.57996,BR,Instituto Nacional de Pesquisas da Amazonia,,Brazil,GS
17,KUZ,Zoosystematics and Evolution;ZooKeys,10.3897/zse.91.7616;10.3897/zookeys.668.12181;10.3897/zookeys.553.6723;10.3897/zse.97.64473,JP,Zoological Collection of the Kyoto University,,Japan,GN
3,NOAA,Zoosystematics and Evolution;ZooKeys,10.3897/zse.92.5789;10.3897/zookeys.641.11500,US,National Oceanic and Atmospheric Administration,OTHER_INSTITUTIONAL_TYPE,United States,GN
6,GCRL,Zoosystematics and Evolution;ZooKeys,10.3897/zse.92.5789;10.3897/zse.92.5581;10.3897/zookeys.571.7440,US,Gulf Coast Research Laboratory,,United States,GN
22,KSMA,ZooKeys;Journal of Hymenoptera Research;Deutsche Entomologische Zeitschrift,10.3897/zookeys.898.37531;10.3897/jhr.69.32561;10.3897/zookeys.742.22854;10.3897/zookeys.716.21150;10.3897/zookeys.979.52059;10.3897/zookeys.977.56314;10.3897/jhr.76.38340;10.3897/dez.67.46662;10.3897/zookeys.1029.63940;10.3897/jhr.82.65252;10.3897/zookeys.771.24165;10.3897/zookeys.545.6308;10.3897/jhr.76.50193,,,,,
3,WMLC,ZooKeys,10.3897/zookeys.898.37531;10.3897/zookeys.545.6308,,,,,
194,CASC,ZooKeys,10.3897/zookeys.898.37531;10.3897/zookeys.798.28606;10.3897/zookeys.724.21057;10.3897/zookeys.863.33183;10.3897/zookeys.690.13751;10.3897/zookeys.905.39592;10.3897/zookeys.949.51269;10.3897/zookeys.681.13187;10.3897/zookeys.1001.58447;10.3897/zookeys.770.24908;10.3897/zookeys.767.21105;10.3897/zookeys.670.11839;10.3897/zookeys.572.7177;10.3897/zookeys.627.8629;10.3897/zookeys.616.9532,,,,,
27,SMNS,ZooKeys;Journal of Hymenoptera Research,10.3897/zookeys.898.47118;10.3897/zookeys.853.33311;10.3897/zookeys.901.39432;10.3897/jhr.79.55899;10.3897/zookeys.562.6124;10.3897/zookeys.1036.66435,DE,Staatliches Museum fuer Naturkund Stuttgart,,Germany,GN
1,MNHK,ZooKeys,10.3897/zookeys.898.47118,,,,,
16,ELKU,ZooKeys;Journal of Hymenoptera Research,10.3897/zookeys.897.38529;10.3897/jhr.63.23671;10.3897/zookeys.668.11896;10.3897/jhr.80.56178;10.3897/zookeys.775.24945;10.3897/zookeys.736.20739;10.3897/zookeys.651.10336;10.3897/zookeys.958.54300;10.3897/zookeys.656.8914;10.3897/zookeys.571.7780,,,,,
2,KGU,ZooKeys,10.3897/zookeys.897.38529,RU,Geology and Mineralogy Museum,,Russian Federation,GN
4,OPU,ZooKeys;Journal of Hymenoptera Research,10.3897/zookeys.897.38529;10.3897/jhr.79.56162;10.3897/zookeys.736.20739;10.3897/zookeys.601.7782,,,,,
60,CSCA,ZooKeys,10.3897/zookeys.896.36493;10.3897/zookeys.778.25775;10.3897/zookeys.528.6001;10.3897/zookeys.541.6643;10.3897/zookeys.618.8059;10.3897/zookeys.1001.58447;10.3897/zookeys.594.7750;10.3897/zookeys.1007.60012;10.3897/zookeys.984.53587,US,California State Collection of Arthropods,MUSEUM,United States,GN
63,LACM,ZooKeys;Journal of Orthoptera Research,10.3897/zookeys.896.36493;10.3897/zookeys.755.23939;10.3897/zookeys.667.6080;10.3897/zookeys.622.9411;10.3897/zookeys.614.8843;10.3897/zookeys.562.6124;10.3897/zookeys.546.6175;10.3897/jor.28.30143,US,Natural History Museum of Los Angeles County,MUSEUM,United States,GN
4,UFPR,ZooKeys,10.3897/zookeys.896.36493;10.3897/zookeys.980.56807,,,,,
23,NHMSU,ZooKeys,10.3897/zookeys.894.38327;10.3897/zookeys.790.25793;10.3897/zookeys.777.24917;10.3897/zookeys.661.10677;10.3897/zookeys.988.56188,,,,,
6,TAMUIC,ZooKeys,10.3897/zookeys.893.47059;10.3897/zookeys.711.17766,US,Texas A&M University Insect Collection,UNIVERSITY_COLLEGE,United States,GN
20,ECOSUR,ZooKeys;Journal of Hymenoptera Research,10.3897/zookeys.893.39594;10.3897/jhr.55.12209;10.3897/zookeys.671.12052;10.3897/zookeys.546.6175;10.3897/zookeys.1016.55071,MX,El Colegio de la Frontera Sur (Mexico),MUSEUM,Mexico,GS
5,UANL,ZooKeys,10.3897/zookeys.893.39594;10.3897/zookeys.530.6064;10.3897/zookeys.614.8843,MX,Universidad Autonoma de Nuevo Leon,,Mexico,GS
1,UNM,ZooKeys,10.3897/zookeys.892.38868,US,University of New Mexico,HERBARIUM,United States,GN
8,BNHS,ZooKeys;Zoosystematics and Evolution;Evolutionary Systematics,10.3897/zookeys.892.39524;10.3897/zookeys.577.7848;10.3897/zse.96.48431;10.3897/evolsyst.5.61667;10.3897/evolsyst.5.62929,IO,Bombay Natural History Society,,British Indian Ocean Territory,GS
1,USMMC,ZooKeys,10.3897/zookeys.892.39524,,,,,
13,SYSU,ZooKeys;Deutsche Entomologische Zeitschrift,10.3897/zookeys.889.34690;10.3897/zookeys.738.21711;10.3897/dez.67.50078;10.3897/dez.68.66200,TW,National Sun Yat-Sen University,HERBARIUM,"Taiwan, Province of China",GN
4,GZNULS,ZooKeys,10.3897/zookeys.889.38909;10.3897/zookeys.889.38296;10.3897/zookeys.809.31162;10.3897/zookeys.722.13265,,,,,
5,ZDAMU,ZooKeys,10.3897/zookeys.889.34942;10.3897/zookeys.889.36436,,,,,
74,SAMC,ZooKeys;Journal of Hymenoptera Research,10.3897/zookeys.889.38638;10.3897/zookeys.798.28606;10.3897/zookeys.796.21429;10.3897/jhr.63.12754;10.3897/jhr.73.33876;10.3897/zookeys.783.26872;10.3897/zookeys.746.14885;10.3897/zookeys.841.32364;10.3897/zookeys.676.12987;10.3897/zookeys.565.7185;10.3897/zookeys.667.11414;10.3897/zookeys.657.11623;10.3897/zookeys.640.10334;10.3897/zookeys.636.10216;10.3897/jhr.79.56042;10.3897/zookeys.539.6529;10.3897/zookeys.1007.55543;10.3897/zookeys.585.7503,ZA,Iziko Museums of Cape Town,MUSEUM,South Africa,GS
35,MNCN,ZooKeys;Journal of Hymenoptera Research;Subterranean Biology;Nota Lepidopterologica,10.3897/zookeys.888.37816;10.3897/zookeys.800.26292;10.3897/jhr.52.10067;10.3897/zookeys.782.26797;10.3897/zookeys.779.26944;10.3897/subtbiol.25.23364;10.3897/zookeys.759.22981;10.3897/zookeys.740.14640;10.3897/zookeys.709.14877;10.3897/zookeys.688.11261;10.3897/zookeys.539.6157;10.3897/zookeys.987.51366;10.3897/zookeys.601.8241;10.3897/jhr.82.64657;10.3897/nl.40.14528;10.3897/zookeys.957.52565;10.3897/subtbiol.38.66254,ES,Museo Nacional de Ciencias Naturales,MUSEUM,Spain,GN
15,UFMG,ZooKeys;Subterranean Biology;Journal of Hymenoptera Research,10.3897/zookeys.814.29906;10.3897/zookeys.724.20680;10.3897/zookeys.589.7951;10.3897/zookeys.622.8682;10.3897/subtbiol.36.54034;10.3897/jhr.81.60048,,,,,
11,ZSI,ZooKeys,10.3897/zookeys.811.29187;10.3897/zookeys.1040.64280;10.3897/zookeys.783.25225;10.3897/zookeys.864.33678;10.3897/zookeys.604.8203,,,,,
5,MGE,ZooKeys,10.3897/zookeys.811.29187,,,,,
2,MNCNM,ZooKeys,10.3897/zookeys.810.26910,,,,,
2,UW,ZooKeys,10.3897/zookeys.809.29280,US,University of Washington Fish Collection,MUSEUM,United States,GN
138,TAMU,ZooKeys;Journal of Hymenoptera Research,10.3897/zookeys.809.30647;10.3897/zookeys.796.21285;10.3897/jhr.54.10457;10.3897/zookeys.787.26948;10.3897/zookeys.778.25775;10.3897/zookeys.747.22731;10.3897/zookeys.702.14728;10.3897/zookeys.528.6001;10.3897/zookeys.1001.58447;10.3897/zookeys.1027.54888,,Texas A&M University,HERBARIUM,,
6,HIST,ZooKeys,10.3897/zookeys.808.29433;10.3897/zookeys.825.31663,,,,,
8,CAUC,ZooKeys,10.3897/zookeys.808.29433;10.3897/zookeys.725.21267;10.3897/zookeys.520.9558,,,,,
72,IZAS,ZooKeys,10.3897/zookeys.806.30051;10.3897/zookeys.738.19884;10.3897/zookeys.721.13918;10.3897/zookeys.647.11247;10.3897/zookeys.953.52282;10.3897/zookeys.997.58125;10.3897/zookeys.604.9049;10.3897/zookeys.1017.61383;10.3897/zookeys.881.34821;10.3897/zookeys.799.28834;10.3897/zookeys.758.24169;10.3897/zookeys.536.5982;10.3897/zookeys.552.6096;10.3897/zookeys.635.9915;10.3897/zookeys.614.6156;10.3897/zookeys.1009.61515,,Institut Zoologii Akademii Nauk Ukraini - Institute of Zoology of the Academy of Sciences of Ukraine,,,
3,UNTAD,ZooKeys,10.3897/zookeys.805.24834,,,,,
53,MUSM,ZooKeys,10.3897/zookeys.803.28124;10.3897/zookeys.788.26325;10.3897/zookeys.707.20759;10.3897/zookeys.673.13050;10.3897/zookeys.660.11394;10.3897/zookeys.994.56277;10.3897/zookeys.1001.58447;10.3897/zookeys.774.25332;10.3897/zookeys.766.24523;10.3897/zookeys.541.6297;10.3897/zookeys.935.50492;10.3897/zookeys.645.11221;10.3897/zookeys.996.53958,,,,,
20,MALUZ,ZooKeys,10.3897/zookeys.803.28124;10.3897/zookeys.768.24423;10.3897/zookeys.669.11773;10.3897/zookeys.1019.59881,,,,,
57,ZMMU,ZooKeys,10.3897/zookeys.802.30236;10.3897/zookeys.791.28775;10.3897/zookeys.717.21885;10.3897/zookeys.906.47978;10.3897/zookeys.675.13252;10.3897/zookeys.672.10624;10.3897/zookeys.635.10487;10.3897/zookeys.632.10130;10.3897/zookeys.630.10397;10.3897/zookeys.993.59932;10.3897/zookeys.558.6521;10.3897/zookeys.1019.61496;10.3897/zookeys.1035.65767,RU,"Zoological Museum, Moscow Lomonosov State University",MUSEUM,Russian Federation,GN
5,ZMUI,ZooKeys;Subterranean Biology,10.3897/zookeys.802.30236;10.3897/subtbiol.24.20985,TR,"Zoological Museum, University of Istanbul",,Turkey,GN
4,ZUTC,ZooKeys,10.3897/zookeys.801.23340;10.3897/zookeys.522.6056;10.3897/zookeys.582.7199,,,,,
2,IRIPP,ZooKeys,10.3897/zookeys.801.23340;10.3897/zookeys.582.7199,IR,Iranian Research Institute of Plant Protection; Agricultural Zoology Museum of Iran,MUSEUM,"Iran, Islamic Republic of",GN
136,TLMF,ZooKeys;Nota Lepidopterologica,10.3897/zookeys.800.26292;10.3897/nl.40.11184;10.3897/nl.42.33412;10.3897/nl.38.5058;10.3897/nl.43.50430;10.3897/zookeys.963.54842;10.3897/zookeys.684.13383;10.3897/nl.43.54916;10.3897/zookeys.992.53975;10.3897/nl.39.9090;10.3897/zookeys.596.8725;10.3897/zookeys.586.8375;10.3897/nl.43.38538,AT,Tiroler Landesmuseum Ferdinandeum,,Austria,GN
9,ZMHU,ZooKeys,10.3897/zookeys.800.26292,DE,Zoologisches Museum der Humboldt Universitaet,,Germany,GN
3,BFUS,ZooKeys;Nota Lepidopterologica,10.3897/zookeys.800.26292;10.3897/nl.39.6760,BG,"University of Sofia, Biology Faculty",UNIVERSITY_COLLEGE,Bulgaria,GN
19,MZH,ZooKeys;Journal of Hymenoptera Research;Nota Lepidopterologica,10.3897/zookeys.800.26292;10.3897/jhr.67.28810;10.3897/nl.41.23395;10.3897/zookeys.584.8171;10.3897/nl.43.54916;10.3897/zookeys.992.53975,FI,Finnish Museum of Natural History,MUSEUM,Finland,GN
8,LMK,ZooKeys;Deutsche Entomologische Zeitschrift,10.3897/zookeys.800.26292;10.3897/dez.63.7556;10.3897/zookeys.963.54842,,,,,
3,MHNT,ZooKeys,10.3897/zookeys.800.26292,FR,Museum d'Histoire Naturelle Toulouse,,France,GN
21,USDA,ZooKeys;PhytoKeys,10.3897/zookeys.797.29138;10.3897/phytokeys.115.31704;10.3897/zookeys.527.6087;10.3897/zookeys.532.6587;10.3897/zookeys.591.7731;10.3897/zookeys.546.6443,US,United States Department of Agriculture,,United States,GN
15,UHIM,ZooKeys,10.3897/zookeys.797.29138;10.3897/zookeys.876.38096;10.3897/zookeys.973.55327,US,The University of Hawaii Insect Museum,MUSEUM,United States,GN
4,CTAHR,ZooKeys,10.3897/zookeys.797.29138,,,,,
14,WFBM,ZooKeys,10.3897/zookeys.797.29138;10.3897/zookeys.876.38096,US,W.F. Barr Entomological Collection,,United States,GN
33,INBIO,ZooKeys;Journal of Orthoptera Research,10.3897/zookeys.796.22517;10.3897/zookeys.853.30317;10.3897/jor.29.51328;10.3897/zookeys.1001.58447;10.3897/zookeys.557.7087,CR,"National Biodiversity Institute, Costa Rica",,Costa Rica,GS
8,MMBC,ZooKeys,10.3897/zookeys.796.22517;10.3897/zookeys.796.24540,CZ,Moravske Muzeum [Moravian Museum],,Czechia,GN
42,UNAM,ZooKeys;Journal of Hymenoptera Research,10.3897/zookeys.796.20702;10.3897/jhr.55.12209;10.3897/jhr.58.12919;10.3897/zookeys.788.26885;10.3897/zookeys.747.24351;10.3897/zookeys.569.5984;10.3897/zookeys.671.12052;10.3897/zookeys.974.54536;10.3897/zookeys.987.51366;10.3897/jhr.63.24491,MX,Universidad Nacional Autonoma de Mexico,,Mexico,GS
27,UCR,ZooKeys;Journal of Hymenoptera Research,10.3897/zookeys.796.20702;10.3897/zookeys.796.21432;10.3897/zookeys.755.23939;10.3897/zookeys.646.11411;10.3897/zookeys.974.54536;10.3897/zookeys.629.10828;10.3897/jhr.76.48004,CR,"Universidad de Costa Rica, Museo de Zoologia",,Costa Rica,GS
81,ZISP,ZooKeys;Journal of Hymenoptera Research,10.3897/zookeys.796.21432;10.3897/zookeys.796.21429;10.3897/zookeys.796.21877;10.3897/jhr.52.10067;10.3897/jhr.58.12919;10.3897/jhr.62.21858;10.3897/zookeys.747.24351;10.3897/zookeys.723.21668;10.3897/zookeys.946.51780;10.3897/zookeys.672.10624;10.3897/zookeys.651.11235;10.3897/zookeys.974.54536;10.3897/zookeys.615.9311;10.3897/jhr.79.56481;10.3897/jhr.79.56839;10.3897/jhr.79.57887;10.3897/zookeys.999.58747;10.3897/zookeys.582.7426;10.3897/jhr.80.58737;10.3897/zookeys.1036.56919;10.3897/JHR.45.5313,RU,"Zoological Institute, Russian Academy of Sciences",,Russian Federation,GN
23,KU,ZooKeys;Zoosystematics and Evolution,10.3897/zookeys.796.21432;10.3897/zookeys.766.24523;10.3897/zse.93.10188,CN,Kwangsi University,HERBARIUM,China,GS
6,UCB,ZooKeys,10.3897/zookeys.796.21432,US,University of California at Berkeley,,United States,GN
6,UCD,ZooKeys,10.3897/zookeys.796.21432,US,"University of California, Davis",,United States,GN
8,PPRI,ZooKeys,10.3897/zookeys.796.21429,ZA,"ARC-Plant Protection Research Institute, National Collection of Fungi: Culture Collection",,South Africa,GS
8,UNSW,ZooKeys,10.3897/zookeys.796.21429,AU,John T. Waterhouse Herbarium,,Australia,GN
26,IBUNAM,ZooKeys;Journal of Hymenoptera Research,10.3897/zookeys.796.21285;10.3897/zookeys.646.10787;10.3897/jhr.82.62345,MX,"Instituto de BiIología, Universidad Nacional Autónoma de México",UNIVERSITY_COLLEGE,Mexico,GS
1,MPUJ_ENT,ZooKeys,10.3897/zookeys.796.22058,,,,,
1,UFVB,ZooKeys,10.3897/zookeys.796.20801,BR,"Vicosa, Universidade Federal de Vicosa, Museum of Entomology",,Brazil,GS
50,US,ZooKeys;PhytoKeys,10.3897/zookeys.796.21293;10.3897/phytokeys.77.11190;10.3897/phytokeys.76.11637;10.3897/phytokeys.76.10808;10.3897/phytokeys.75.10015;10.3897/phytokeys.74.10380;10.3897/phytokeys.74.9835;10.3897/phytokeys.74.10159;10.3897/phytokeys.69.9292;10.3897/phytokeys.69.8844;10.3897/phytokeys.65.7024;10.3897/phytokeys.63.8198;10.3897/phytokeys.58.5292;10.3897/phytokeys.57.6489;10.3897/phytokeys.57.5784;10.3897/phytokeys.75.10328;10.3897/zookeys.647.10960;10.3897/phytokeys.169.58107,ZA,University of Stellenbosch,,South Africa,GS
31,OMNH,ZooKeys;Journal of Hymenoptera Research;Deutsche Entomologische Zeitschrift,10.3897/zookeys.796.21353;10.3897/jhr.62.23559;10.3897/zookeys.636.10592;10.3897/zookeys.990.55542;10.3897/zookeys.1006.58874;10.3897/dez.68.59641,US,Sam Noble Oklahoma Museum of Natural History,MUSEUM,United States,GN
134,NMNH,Journal of Hymenoptera Research;ZooKeys;Deutsche Entomologische Zeitschrift,10.3897/JHR.50.8220;10.3897/jhr.53.10369;10.3897/zookeys.793.26712;10.3897/zookeys.780.26977;10.3897/zookeys.742.22900;10.3897/zookeys.742.21819;10.3897/zookeys.714.15113;10.3897/zookeys.841.29570;10.3897/dez.63.8977;10.3897/zookeys.544.6074;10.3897/zookeys.927.49584;10.3897/zookeys.635.10535;10.3897/zookeys.626.10033;10.3897/zookeys.625.8729;10.3897/zookeys.615.9530;10.3897/zookeys.604.9049;10.3897/zookeys.533.6004;10.3897/zookeys.1017.50619;10.3897/zookeys.1016.61397;10.3897/zookeys.1040.64280,,,,,
37,CNIN,Journal of Hymenoptera Research;ZooKeys,10.3897/jhr.51.9634;10.3897/zookeys.747.22731;10.3897/zookeys.736.21628;10.3897/zookeys.702.14728;10.3897/zookeys.681.12522;10.3897/zookeys.993.49434;10.3897/zookeys.589.8291,MX,"Coleccion Nacional de Insectos, Universidad Nacional Autonoma de Mexico",,Mexico,GS
8,TAMU-ENTO,Journal of Hymenoptera Research,10.3897/jhr.54.10457,,,,,
4,CNC HYMEN,Journal of Hymenoptera Research,10.3897/jhr.54.10457,,,,,
6,MLP,Journal of Hymenoptera Research;ZooKeys,10.3897/jhr.54.10096;10.3897/zookeys.610.9465;10.3897/zookeys.796.21431,AR,Museo de La Plata,,Argentina,GS
48,BBSL,Journal of Hymenoptera Research;ZooKeys,10.3897/jhr.55.12209;10.3897/zookeys.755.23939;10.3897/zookeys.591.7731,US,"USDA/ARS, Pollinating Insects, Biology, Management and Systematics Research",MUSEUM,United States,GN
205,SEMC,Journal of Hymenoptera Research;ZooKeys,10.3897/jhr.55.12209;10.3897/jhr.61.20345;10.3897/jhr.69.32561;10.3897/zookeys.768.24423;10.3897/zookeys.716.21150;10.3897/zookeys.705.19815;10.3897/zookeys.537.6115;10.3897/zookeys.601.9499;10.3897/zookeys.664.11881;10.3897/zookeys.904.48592;10.3897/zookeys.622.9155;10.3897/zookeys.669.11773;10.3897/zookeys.973.54026;10.3897/zookeys.617.9178;10.3897/zookeys.1001.58447;10.3897/zookeys.557.7087;10.3897/zookeys.714.15113;10.3897/zookeys.1019.59881;10.3897/zookeys.1025.60442,US,University of Kansas - Biodiversity Institute,MUSEUM,United States,GN
7,CNU,Journal of Hymenoptera Research,10.3897/jhr.56.10388;10.3897/jhr.73.32256,CN,"Capital Normal University, College of Life Sciences",,China,GS
34,NZAC,Journal of Hymenoptera Research;ZooKeys,10.3897/jhr.57.12892;10.3897/zookeys.707.12649;10.3897/zookeys.554.6120;10.3897/zookeys.879.37684,NZ,New Zealand Arthropod Collection,OTHER_INSTITUTIONAL_TYPE,New Zealand,GN
31,QMBA,Journal of Hymenoptera Research;ZooKeys,10.3897/jhr.57.12892;10.3897/zookeys.556.6126,,,,,
28,ROM,Journal of Hymenoptera Research;ZooKeys,10.3897/jhr.57.12892;10.3897/jhr.70.34206;10.3897/zookeys.759.24742;10.3897/zookeys.551.6168;10.3897/zookeys.691.13595;10.3897/zookeys.594.8295;10.3897/zookeys.562.6124,CA,Royal Ontario Museum,MUSEUM,Canada,GN
18,NWUX,Journal of Hymenoptera Research;ZooKeys,10.3897/jhr.57.11766;10.3897/jhr.62.23196;10.3897/zookeys.663.11874;10.3897/zookeys.926.47270;10.3897/zookeys.1038.64978;10.3897/JHR.45.5069;10.3897/jhr.52.9806;10.3897/zookeys.537.6592;10.3897/zookeys.612.9751,,,,,
